ts_code,industry,total_mv,close,data_count,atr_ratio_latest,mae,cov_0.5x,cov_0.8x,cov_1.0x,cov_1.2x,cov_1.5x,cov_2.0x,buy_dev_median,buy_dev_p80,sell_dev_median,sell_dev_p80
000903.SZ,,522408.0,2.7,6011,2.4073,1.6807,11.6,45.5,63.8,75.7,87.0,95.2,0.3649,0.7327,0.3723,0.8007
000928.SZ,建筑装饰,979862.0,6.83,6011,2.9436,1.5247,11.4,45.6,63.1,76.6,87.9,95.6,0.356,0.7326,0.371,0.8032
000958.SZ,,11692100.0,6.73,6011,2.281,1.5712,12.1,46.1,64.1,76.3,87.5,95.1,0.363,0.7367,0.3627,0.7784
000983.SZ,煤炭,3928550.0,6.92,6011,4.0364,1.5852,9.4,43.3,62.8,76.8,88.3,96.3,0.3637,0.7261,0.3975,0.8212
001210.SZ,,339813.0,21.67,1121,5.1414,1.5135,15.4,47.9,64.8,76.6,87.0,93.6,0.3636,0.7206,0.3393,0.7025
001230.SZ,,326304.0,24.31,889,3.3663,1.2791,15.2,48.8,65.1,76.6,84.7,93.8,0.3851,0.7591,0.3427,0.7188
001278.SZ,汽车,280380.0,22.66,733,6.3009,1.6719,13.2,48.1,66.1,76.8,86.5,93.9,0.3823,0.7231,0.3622,0.7528
001313.SZ,,522200.0,7.46,990,3.0625,1.4815,11.3,47.7,65.6,78.9,88.9,95.5,0.3611,0.685,0.3427,0.775
001337.SZ,有色金属,2257500.0,53.75,736,6.8074,1.6748,18.9,54.0,69.1,78.9,88.0,94.9,0.3066,0.5986,0.3653,0.8027
001388.SZ,电力设备,753168.0,48.28,173,2.5635,1.2227,23.9,52.2,67.9,78.6,89.3,94.3,0.3128,0.644,0.3439,0.7023
002007.SZ,,2772250.0,15.17,5205,1.3161,1.3043,8.1,41.9,61.4,75.6,87.4,95.9,0.378,0.7259,0.4072,0.8249
002027.SZ,传媒,9921790.0,6.87,5104,2.4086,1.4604,9.1,41.5,61.5,75.8,88.1,95.9,0.3717,0.7491,0.3817,0.8097
002046.SZ,,2573010.0,47.98,4905,5.7906,1.6639,10.1,44.3,64.1,76.3,87.0,94.9,0.3486,0.7153,0.4011,0.805
002064.SZ,基础化工,5180900.0,10.44,4727,5.6687,1.4016,7.8,41.8,62.6,76.2,87.9,95.7,0.367,0.7268,0.3922,0.8087
002084.SZ,轻工制造,263591.0,4.08,4619,3.6918,1.6785,10.9,45.3,64.5,76.6,87.6,95.1,0.3602,0.7313,0.3763,0.7676
002105.SZ,汽车,257102.0,7.02,4628,3.229,1.6802,11.6,46.8,64.5,76.5,86.9,94.7,0.3475,0.7259,0.3884,0.7729
002125.SZ,,914015.0,14.52,4454,3.8258,1.784,11.1,45.8,64.4,76.3,87.0,95.0,0.3427,0.7118,0.3875,0.7882
002144.SZ,纺织服饰,277164.0,15.68,4476,4.4534,1.41,11.0,45.3,63.8,76.3,87.4,95.2,0.3523,0.7318,0.3887,0.7836
002164.SZ,机械设备,681714.0,12.81,4318,2.8408,1.759,12.0,47.5,64.5,76.3,86.5,94.9,0.3462,0.7004,0.3708,0.813
002182.SZ,,1785220.0,18.0,4425,5.2519,1.6313,9.5,43.7,62.9,75.9,87.5,96.0,0.3505,0.7125,0.3966,0.8236
002200.SZ,建筑装饰,341051.0,7.56,4264,2.1999,1.4287,11.4,44.7,64.1,76.5,87.4,95.7,0.3416,0.7271,0.3824,0.8119
002219.SZ,医药生物,829908.0,2.45,3895,3.6842,1.638,12.3,45.8,63.7,76.8,87.6,95.3,0.3551,0.7233,0.3697,0.7839
