factor,quantile,regime,sample_count,avg_1d,med_1d,winrate_1d,count_1d,avg_3d,med_3d,winrate_3d,count_3d,avg_5d,med_5d,winrate_5d,count_5d,avg_10d,med_10d,winrate_10d,count_10d,avg_20d,med_20d,winrate_20d,count_20d
全口径净流入,Q5_bot,bull,440338,0.08184546413876913,-0.14792899408283544,46.04425769798059,439336,0.20761053138096894,-0.24219590958017845,46.74697197317364,437331,0.26676705456189254,-0.3154574132492094,46.884755597516346,435327,0.549637008437147,-0.4366812227074246,47.145874921858116,430307,0.9110418750039981,-0.7671653241273502,46.68663733722278,420283
全口径净流入,Q1_top,bear,307643,-0.024042046504821276,-0.14492753623189802,45.97796796936709,307643,0.05049824952633313,-0.34129692832765013,45.66039207783047,307643,0.1471769278101167,-0.5347593582887722,44.99078477325992,307643,0.47291260468419777,-0.7537688442211032,45.268704309865655,307643,1.3842869631011707,-0.9983361064891727,45.79821416381975,307643
全口径净流入,Q2,bear,307462,0.058107598483600795,0.0,47.442936037624165,307462,0.2850949626762548,0.0,48.68146307511172,307462,0.5523514612627476,-0.06036825180248395,48.47981213938633,307462,1.0579490658481367,0.0,49.65979535682458,307462,2.1878572316678326,0.32102728731941976,51.07883250613084,307462
全口径净流入,Q3,bear,307444,0.08981794196937834,0.0,48.19446793562405,307444,0.32638304189558853,0.051719710465902846,50.11807028271815,307444,0.6416163398984368,0.07886440236269943,50.2615110394088,307444,1.2216009239877568,0.3446578040374293,51.89628029820065,307444,2.4506792348574815,0.8588498879761097,53.57611004316247,307443
全口径净流入,Q4,bear,307454,0.06026894396884746,0.0,47.72063463152211,307454,0.2340122389103534,0.0,49.417148581576434,307454,0.5518098896293289,0.0,49.90925471777892,307454,1.0912540709680874,0.27369765760150155,51.41159327899458,307454,2.2889145001879525,0.7607192254495132,53.10600319398412,307453
全口径净流入,Q5_bot,bear,307578,-0.06294644231770223,-0.1783166904422262,44.92388922484703,307578,-0.04352951301896346,-0.32203238472196527,45.442781993510586,307578,0.1743281265113902,-0.3558718861210064,46.115782013017835,307578,0.5031243856066698,-0.4310344827586077,46.91915546625572,307578,1.4164356780511003,-0.4776309625925512,47.67961297622067,307578
MOD修正大单,Q1_top,all,748059,0.04151723799598894,-0.1491424310216094,46.315876834030064,747057,0.11749349412268525,-0.3545261167572811,45.77659784363755,745051,0.1905907846668645,-0.47281323877069736,45.800175763717576,743043,0.4001099023572575,-0.7092198581560294,45.81357346875728,738028,0.9642001042350589,-1.1075584282067674,45.61826923076923,728000
MOD修正大单,Q2,all,747594,0.10230043132836883,0.0,47.99923920861623,746591,0.31956007576629075,0.0,48.62111664437246,744588,0.5393315005478908,0.0,49.25389012705616,742585,0.9691573513970421,0.09013070780428123,50.221672672843674,737574,1.8158422412380881,0.21186440677967155,50.623939083643165,727555
MOD修正大单,Q3,all,747608,0.1128692026198175,0.0,49.27779846398234,746606,0.3406218141980995,0.03224559858289178,50.037738281659195,744602,0.5581386196326719,0.11471178663606807,50.539256151048285,742597,1.0608123569043555,0.32467532467532756,51.776797710384216,737591,1.9544999570721355,0.5888125613346507,52.4053322631056,727571
MOD修正大单,Q4,all,747594,0.10216479864662743,0.0,49.2305034074836,746592,0.32862323501109175,0.0,49.90128769198537,744588,0.5347378313271044,0.06485610095321448,50.17883546867551,742582,1.044247669466455,0.2762430939226457,51.40874573430897,737571,1.9652457477580978,0.5395683453237377,52.17339910686183,727547
MOD修正大单,Q5_bot,all,747917,0.054317412151338285,-0.08944543828264262,46.805451237292694,746913,0.18873013799956276,-0.22089684237280305,46.86201174916499,744904,0.3117668524666498,-0.3146303093864655,46.83510566698075,742900,0.6805802015833179,-0.3597122302158251,47.58789672617475,737883,1.3670859135575026,-0.4237288135593098,48.04977303452293,727864
MOD修正大单,Q1_top,bull,440417,0.08926863935111704,-0.13422818791946067,46.79357782506287,439415,0.1757096228133845,-0.36199095022625416,45.86599727028936,437409,0.17460029371025274,-0.5000000000000115,45.75965604121258,435401,0.3354407777943554,-0.7729181386318285,45.6281105798051,430386,0.5926834391032741,-1.3399744373016942,44.81727479909981,420358
MOD修正大单,Q2,bull,440136,0.13803612960604386,0.0,48.70483429849271,439133,0.3856676799381674,0.0,49.11742502230458,437130,0.5349510994303802,0.0,49.81672017594863,435127,0.9525475741948904,0.16583747927030323,50.66144946944545,430116,1.5470957389391358,0.12165450121655041,50.249347174581104,420097
MOD修正大单,Q3,bull,440163,0.1515653313384965,0.04791566842357042,50.228276190281015,439161,0.4036495118991444,0.09615384615384581,50.53790743371375,437157,0.5761360446061049,0.19465352001816205,51.3195389197338,435152,1.0581594157380538,0.4166666666666874,52.40615976900867,430146,1.7670130386220573,0.5733252866626293,52.343220026325376,420127
MOD修正大单,Q4,bull,440136,0.1429529795683041,0.04866181200959829,50.258007806273255,439134,0.38972677413718726,0.055501596739426784,50.173861322718636,437130,0.5597379328141987,0.13512600561647048,50.73657164394517,435124,1.0352258210592846,0.3236245954692629,51.71268945602667,430113,1.8034906727613802,0.5270092226614009,52.12668713847033,420090
MOD修正大单,Q5_bot,bull,440339,0.09577013094977642,-0.05370569280344073,47.40323443386026,439335,0.25158173684092816,-0.2309468822170868,46.825480305309995,437326,0.33673975460484473,-0.3080369644357317,46.98912529116378,435322,0.6364202287130841,-0.37383177570092796,47.58252867152369,430305,1.1408953305750362,-0.5357142857142727,47.60187110681774,420286
MOD修正大单,Q1_top,bear,307642,-0.026687630085949158,-0.1686340640809414,45.63356108723776,307642,0.03472112027753385,-0.3439515346274624,45.64948869140105,307642,0.21322188104837206,-0.435850427724116,45.857522704962264,307642,0.4905809233626115,-0.6269592476489061,46.07303294088583,307642,1.4718356101850492,-0.7936507936507908,46.71273753258658,307642
MOD修正大单,Q2,bear,307458,0.05126020992651791,0.0,46.99145899602548,307458,0.22557124798606554,-0.08576329331045907,47.915487643840784,307458,0.5455308214211778,-0.06842286124134067,48.457350272232304,307458,0.9923934712283056,0.0,49.60645031191252,307458,2.1830455645417026,0.33388981636059967,51.1357648849599,307458
MOD修正大单,Q3,bear,307445,0.057594826441236785,0.0,47.92011579306868,307445,0.2510025351599121,0.0,49.32654621151751,307445,0.5326653952444422,0.0,49.43485826733237,307445,1.064524084305744,0.2004008016031955,50.89625786726081,307445,2.210703742436874,0.6116207951070374,52.49020959914651,307444
MOD修正大单,Q4,bear,307458,0.04390813581508755,0.0,47.76294648374738,307458,0.24174896256350525,0.0,49.513754724222494,307458,0.4993569202450366,0.0,49.38951011195025,307458,1.0568686267482739,0.21333333333333204,50.98354897254259,307458,2.186257757422446,0.5555555555555536,52.23722341660785,307457
MOD修正大单,Q5_bot,bear,307578,-0.004892382480630926,-0.1325732469777019,45.95159601792066,307578,0.09936536446277233,-0.20752271175930037,46.91395353373778,307578,0.27642214736874543,-0.32388663967610754,46.61711825943338,307578,0.7423604886192112,-0.34110289937463456,47.59540669358667,307578,1.676161124916471,-0.27137042062416183,48.6618028597624,307578
